name,id
FamiliarWig,0
CopperHelmet,1
IronHelmet,2
SilverHelmet,3
GoldHelmet,4
ShadowHelmet,5
MeteorHelmet,6
NecroHelmet,7
JungleHat,8
MoltenHelmet,9
Goggles,10
MiningHelmet,11
Sunglasses,12
EmptyBucket,13
WizardHat,14
TopHat,15
SummerHat,16
BunnyHood,17
PlumbersHat,18
HerosHat,19
FishBowl,20
ArchaeologistsHat,21
NinjaHood,22
JungleRose,23
RedHat,24
RobotHat,25
GoldCrown,26
DivingHelmet,27
MimeMask,28
CobaltHat,29
CobaltHelmet,30
CobaltMask,31
MythrilHood,32
MythrilHelmet,33
MythrilHat,34
AdamantiteHeadgear,35
AdamantiteHelmet,36
AdamantiteMask,37
Werewolf,38
Merman,39
ClownHat,40
HallowedHelmet,41
HallowedHeadgear,42
HallowedMask,43
SantaHat,44
RedsHelmet,45
FrostHelmet,46
TinHelmet,47
LeadHelmet,48
TungstenHelmet,49
PlatinumHelmet,50
PlatinumCrown,51
WoodHelmet,52
EbonwoodHelmet,53
RichMahoganyHelmet,54
PearlwoodHelmet,55
RuneHat,56
CrimsonHelmet,57
EskimoHood,58
SteampunkHat,59
BeeHat,60
PharaohsMask,61
Tiara,62
GreenCap,63
MushroomCap,64
TamOShanter,65
MummyMask,66
CowboyHat,67
PirateHat,68
VikingHelmet,69
CactusHelmet,70
ShadewoodHelmet,71
AncientIronHelmet,72
AncientGoldHelmet,73
AncientShadowHelmet,74
AncientNecroHelmet,75
AncientCobaltHelmet,76
PinkEskimoHood,77
ChlorophyteMask,78
ChlorophyteHelmet,79
ChlorophyteHeadgear,80
RainHat,81
TikiMask,82
PalladiumMask,83
PalladiumHelmet,84
PalladiumHeadgear,85
OrichalcumMask,86
OrichalcumHelmet,87
OrichalcumHeadgear,88
TitaniumMask,89
TitaniumHelmet,90
TitaniumHeadgear,91
UmbrellaHat,92
Skull,93
BallaHat,94
GangstaHat,95
SailorHat,96
EyePatch,97
SkeletronMask,98
TurtleHelmet,99
Beanie,100
SpectreHood,101
SWATHelmet,102
ShroomiteHeadgear,103
ShroomiteMask,104
ShroomiteHelmet,105
CenxsTiara,106
CrownosMask,107
WillsHelmet,108
JimsHelmet,109
AaronsHelmet,110
DTownsHelmet,111
PumpkinHelmet,112
NurseHat,113
WizardsHat,114
GuyFawkesMask,115
SteampunkGoggles,116
CyborgHelmet,117
CreeperMask,118
CatMask,119
GhostMask,120
PumpkinMask,121
RobotMask,122
UnicornMask,123
VampireMask,124
WitchHat,125
LeprechaunHat,126
PrincessHat,127
BrideofFrankensteinMask,128
KarateTortoiseMask,129
ScarecrowHat,130
ReaperHood,131
FoxMask,132
CatEars,133
SpookyHelmet,134
SpaceCreatureMask,135
WolfMask,136
JackOLanternMask,137
GiantBow,138
ReindeerAntlers,139
MrsClausHat,140
TreeMask,141
ParkaHood,142
SnowHat,143
ElfHat,144
Fez,145
BrainofCthulhuMask,146
WallofFleshMask,147
TwinMask,148
SkeletronPrimeMask,149
QueenBeeMask,150
PlanteraMask,151
GolemMask,152
EaterofWorldsMask,153
EyeofCthulhuMask,154
DestroyerMask,155
SpectreMask,156
BeetleHelmet,157
PeddlersHat,158
MagicHat,159
BeeHeadgear,160
AnglerHat,161
SpiderMask,162
SeashellHairpin,163
KingSlimeMask,164
FishCostumeMask,165
BorealWoodHelmet,166
PalmWoodHelmet,167
DukeFishronMask,168
VortexHelmet,169
NebulaHelmet,170
SolarFlareHelmet,171
MoonMask,172
SunMask,173
MartianCostumeMask,174
MartianUniformHelmet,175
SolarCultistHood,176
LunarCultistHood,177
HiTekSunglasses,178
NightVisionHelmet,179
GladiatorHelmet,180
LazuresValkyrieCirclet,181
TaxCollectorsHat,182
DyeTradersTurban,183
BuccaneerBandana,184
ObsidianOutlawHat,185
AncientCultistMask,186
MoonLordMask,187
FossilHelmet,188
StardustHelmet,189
WeddingVeil,190
Yoraiz0rsRecoloredGoggles,191
SkiphssMask,192
LokisHelmet,193
EngineeringHelmet,194
PartyHat,195
SillySunflowerPetals,196
PedguinsHood,197
_0x33sAviators,198
AncientArmor,199
AncientBattleArmor,200
LamiaMale,201
LamiaFemale,202
ApprenticeHat,203
SquireGreatHelm,204
HuntressWig,205
MonkBrows,206
MaskBetsy,207
MaskDarkMage,208
MaskOgre,209
ValhallaKnight,210
ApprenticeDark,211
RedRidingHuntress,212
ShinobiInfiltrator,213
ArkhalisHat,214
LeinforsHat,215
UltraBrightHelmet,216
Maid,217
MaidAlt,218
GolfHat,219
GolfVisor,220
GoldGoldfishBowl,221
StarPrincessCrown,222
DemonHorns,223
BunnyEars,224
DevilHorns,225
Fedora,226
ChefHat,227
StarHairpin,228
HeartHairpin,229
SuperHeroMask,230
UndertakerHat,231
PrettyPinkRibbon,232
FuneralHat,233
VictorianGothHat,234
GhostarSkullPin,235
DrManFlyMask,236
ButcherMask,237
SafemanSunHair,238
FoodBarbarianHelm,239
GroxTheGreatHelm,240
RockGolemHead,241
DogEars,242
FoxEars,243
LizardEars,244
PandaEars,245
DogEarsBack,246
FoxEarsBack,247
LizardEarsBack,248
PandaEarsBack,249
MushroomHat,250
FairyQueenMask,251
CatEarsBack,252
BunnyEarsBack,253
HallowedHood,254
AncientHallowedMask,255
AncientHallowedHelmet,256
AncientHallowedHeadgear,257
AncientHallowedHood,258
RabbitOrder,259
QueenSlimeMask,260
CrystalNinjaHelmet,261
GraduationCapBlue,262
GraduationCapMaroon,263
GraduationCapBlack,264
BadgersHat,265
Count,266
