name.id
FamiliarPants,0
CopperGreaves,1
IronGreaves,2
SilverGreaves,3
GoldGreaves,4
ShadowGreaves,5
MeteorLeggings,6
NecroGreaves,7
JunglePants,8
MoltenGreaves,9
TuxedoPants,10
PlumbersPants,11
HerosPants,12
ArchaeologistsPants,13
NinjaPants,14
TheDoctorsPants,15
CobaltLeggings,16
MythrilGreaves,17
AdamantiteLeggings,18
MiningPants,19
ClownPants,22
HallowedGreaves,23
SantaPants,24
RedsLeggings,25
FrostLeggings,26
TinGreaves,27
LeadGreaves,28
TungstenGreaves,29
PlatinumGreaves,30
WoodGreaves,31
EbonwoodGreaves,32
RichMahoganyGreaves,33
PearlwoodGreaves,34
CrimsonGreaves,35
EskimoPants,36
SteampunkPants,37
BeePants,38
MummyPants,39
CowboyPants,40
PiratePants,41
CactusLeggings,42
ShadewoodGreaves,43
AncientShadowGreaves,44
AncientCobaltLeggings,45
PinkEskimoPants,46
ChlorophyteGreaves,47
TikiPants,48
PalladiumLeggings,49
OrichalcumLeggings,50
TitaniumLeggings,51
SailorPants,52
WhiteTuxedoPants,53
TurtleLeggings,54
SpectrePants,55
ShroomiteLeggings,56
CenxsLeggings,57
CrownosLeggings,58
WillsLeggings,59
JimsLeggings,60
AaronsLeggings,61
DTownsLeggings,62
CenxsDressPants,63
PumpkinLeggings,64
NursePants,65
CyborgPants,66
CreeperPants,67
CatPants,68
PumpkinPants,69
RobotPants,70
UnicornPants,71
VampirePants,72
LeprechaunPants,73
PixiePants,74
WitchBoots,75
KarateTortoisePants,76
ScarecrowPants,77
FoxPants,78
SpookyLeggings,79
SpaceCreaturePants,80
WolfPants,81
TreasureHunterPants,82
DryadLoincloth,83
MrsClausHeels,84
TreeTrunks,85
ParkaPants,86
ElfPants,87
BeetleLeggings,98
BeeGreaves,103
AnglerPants,104
SpiderGreaves,105
MermaidTail,106
FishCostumeFinskirt,107
BorealWoodGreaves,108
PalmWoodGreaves,109
VortexLeggings,110
NebulaLeggings,111
SolarFlareLeggings,112
MartianCostumePants,113
MartianUniformPants,114
GladiatorLeggings,122
TaxCollectorsPants,124
ClothiersPants,125
BuccaneerPantaloons,126
ObsidianPants,127
FallenTuxedoPants,128
FossilGreaves,129
StardustLeggings,130
Yoraiz0rsSkirt,132
SkiphssBearButt,133
LokisGreaves,134
SillySunflowerBottoms,138
PedguinsTrousers,139
DjinnsCurse,140
AncientArmor,141
AncientBattleArmor,142
Lamia,143
ApprenticeTrousers,144
SquireGreaves,145
HuntressPantsMale,146
HuntressPantsFemale,147
MonkPants,148
ApprenticeRobeExtension,149
SquirePlatingExtension,150
HuntressJerkinExtension,151
ValhallaKnight,152
ApprenticeDark,153
RedRidingHuntress,154
RedRidingHuntress_Male,155
ShinobiInfiltrator,156
ArkhalisPants_Male,157
ArkhalisPants_Female,158
LeinforsPants,159
LeinforsPantsCoat,160
ShinobiInfiltratorBodyExtension,161
ForbiddenArmorBodyExtension,162
GladiatorBreastplateBodyExtension,163
BeeBreastplateBodyExtension,164
ReaperRobe,165
BrideOfFrankensteinDress,166
WitchDress,167
PrincessDress,168
GhostShirt,169
DTownBreastplateBodyExtension,170
RaincoatMaleBodyExtension,171
RaincoatFemaleBodyExtension,172
ObsidianLongcoatBodyExtension,173
ApprenticeDarkBodyExtension,174
TikiShirtBodyExtensionMale,175
TikiShirtBodyExtensionFemale,176
MaidBodyExtensionFemale,177
MaidBodyExtensionMale,178
MaidFemale,179
MaidMale,180
MaidAltBodyExtensionFemale,181
MaidAltBodyExtensionMale,182
MaidAltFemale,183
MaidAltMale,184
Golf,185
WitchDressBodyExtension,186
AmberRobe,187
GameMasterPants,188
StarPrincessDress,189
ChefPants,190
SuperHeroTightsMale,191
SuperHeroTightsFemale,192
PrettyPinkDressPantsMale,193
PrettyPinkDressPantsFemale,194
PrettyPinkDressSkirt,195
UndertakerCoat,196
FuneralPantsMale,197
FuneralPantsFemale,198
VictorianGothDressExtension,199
GhostarShirtExtensionFemale,200
GhostarShirtExtensionMale,201
GhostarLegsFemale,202
GhostarLegsMale,203
DrManFlyLabCoatLegs,204
ButcherPants,205
SafemanSunDressExtension,206
SafemanDressLeggingsFemale,207
SafemanDressLeggingsMale,208
FoodBarbarianGreaves,209
GroxTheGreatGreaves,210
MushroomPants,211
AncientHallowedGreaves,212
CrystalNinjaLeggings,213
GraduationGownBlueExtension,214
GraduationGownMaroonExtension,215
GraduationGownBlackExtension,216
MoonLordLegs,217
Count,218
